年月,月商(円),保険売上(円),自費売上(円),メンテ売上(円),訪問売上(円),自費率(%),保険点数(点),1点あたり単価(円),返戻・査定減率(%),延患者数(人),実患者数(人),新患数(人),再来患者数(人),予約数(件),キャンセル数(件),再来率(%),中断率(%),メンテ移行率(%),キャンセル率(%),無断キャンセル数(件),無断キャンセル率(%),無断キャンセル損失額(円),新患獲得単価(円),新患1人あたり生涯売上(円),LTV/獲得単価比(倍),平均継続月数(ヶ月),ユニット1台あたり売上(円),稼働ユニット1台あたり売上(円),チェア稼働率(%),チェア稼働時間(分),チェア稼働可能時間(分),チェア分単価(円),空き枠損失額(円),歯科医師FTE(人),衛生士FTE(人),総スタッフFTE(人),総労働時間(時間),人時生産性(円),残業比率(%),Dr1人あたり売上(円),DH1人あたり売上(円),1日平均来院数(人),患者単価(円),人件費率(%),材料費率(%),コスト合計(円),直接原価(円),直接計上費(円),間接費(円),人件費(円),材料費(円),売上総利益(円),売上総利益率(%),営業利益(円),営業利益率(%),配賦前利益(円),配賦前利益率(%),配賦後営業利益(円),配賦後営業利益率(%),限界利益率(%),損益分岐点売上(円),安全余裕率(%),損益分岐点チェア稼働率(%),損益分岐点患者数(人)
2024-11,10980000,7137000,1874000,1498000,471000,17.07,781797,9.73,2.69,819,475,48,427,893,75,89.89,4.42,26.53,8.4,13,1.46,174285.71,3750,228750,61,22.62,2196000,2196000,65.7,36855,56100,297.92,3226520.15,2.5,4,10.5,2240.7,4900.25,14.12,4392000,374500,37.23,13406.59,27.86,9.44,8785000,1113000,220000,7452000,3059000,1036000,9867000,89.86,2195000,19.99,9647000,87.86,2195000,19.99,89.86,8537403.47,22.25,51.08,636.81
2024-12,11840000,7625000,2065000,1632000,518000,17.44,836135,9.74,2.61,881,511,51,460,960,79,90.02,4.31,26.81,8.23,13,1.35,174710.56,3529.41,232156.86,65.78,23.23,2368000,2368000,70.67,39645,56100,298.65,2401150.21,2.5,4,10.5,2240.7,5284.06,14.12,4736000,408000,40.05,13439.27,27.71,9.37,9124000,1192000,220000,7712000,3281000,1109000,10648000,89.93,2716000,22.94,10428000,88.07,2716000,22.94,89.93,8819954.92,25.51,52.64,656.28
2025-01,10300000,6571000,1835000,1435000,459000,17.82,721301,9.75,2.54,764,443,44,399,833,68,90.07,4.29,27.09,8.16,12,1.44,161780.1,4318.18,234090.91,54.21,23.32,2060000,2060000,61.28,34380,56100,299.59,3986082.02,2.5,4,10.5,2240.7,4596.78,14.12,4120000,358750,34.73,13481.68,27.57,9.29,8542000,1029000,220000,7293000,2840000,957000,9271000,90.01,1758000,17.07,9051000,87.87,1758000,17.07,90.01,8346877.36,18.96,49.66,619.13
2025-02,10169000,6427000,1849000,1431000,462000,18.18,706295,9.75,2.46,752,436,43,393,820,67,90.14,4.13,27.29,8.17,11,1.34,148748.67,4418.6,236488.37,53.52,24.22,2033800,2033800,60.32,33840,56100,300.5,4160455.23,2.5,4,10.5,2240.7,4538.31,14.12,4067600,357750,34.18,13522.61,27.43,9.21,8469000,1008000,220000,7241000,2789000,937000,9161000,90.09,1700000,16.72,8941000,87.92,1700000,16.72,90.09,8281946.18,18.56,49.13,612.45
2025-03,11819000,7399000,2193000,1680000,547000,18.55,814045,9.76,2.39,872,506,50,456,950,76,90.12,4.15,27.67,8,13,1.37,176200.69,4000,236380,59.1,24.1,2363800,2363800,69.95,39240,56100,301.2,2543615.06,2.5,4,10.5,2240.7,5274.69,14.12,4727600,420000,39.64,13553.9,27.29,9.14,9051000,1163000,220000,7668000,3225000,1080000,10656000,90.16,2768000,23.42,10436000,88.3,2768000,23.42,90.16,8748899.4,25.98,51.78,645.49
2025-04,11249000,6975000,2129000,1615000,530000,18.93,768281,9.77,2.31,827,480,48,432,901,72,90,4.17,27.92,7.99,13,1.44,176828.3,4166.67,234354.17,56.24,24,2249800,2249800,66.34,37215,56100,302.27,3164773.08,2.5,4,10.5,2240.7,5020.31,14.12,4499600,403750,37.59,13602.18,27.15,9.07,9189000,1099000,220000,7870000,3054000,1020000,10150000,90.23,2060000,18.31,9930000,88.27,2060000,18.31,90.23,8965951.72,20.3,52.87,659.16
2025-05,11009000,6760000,2125000,1596000,528000,19.3,745499,9.78,2.24,807,468,46,422,880,69,90.17,4.06,28.21,7.84,12,1.36,163702.6,4347.83,239326.09,55.04,24.63,2201800,2201800,64.73,36315,56100,303.15,3446849.24,2.5,4,10.5,2240.7,4913.2,14.12,4403600,399000,36.68,13641.88,27,9,9073000,1068000,220000,7785000,2972000,991000,9941000,90.3,1936000,17.59,9721000,88.3,1936000,17.59,90.3,8865008.05,19.47,52.13,649.84
2025-06,11789000,7168000,2319000,1726000,576000,19.67,791542,9.78,2.17,862,500,49,451,940,73,90.2,4,28.6,7.77,13,1.38,177792.34,4285.71,240591.84,56.14,25,2357800,2357800,69.14,38790,56100,303.92,2703355.38,2.5,4,10.5,2240.7,5261.3,14.12,4715600,431500,39.18,13676.33,26.86,8.92,9368000,1135000,220000,8013000,3167000,1052000,10654000,90.37,2421000,20.54,10434000,88.51,2421000,20.54,90.37,9110084.19,22.72,53.43,666.12
2025-07,11660000,7019000,2337000,1724000,580000,20.04,776132,9.79,2.09,850,493,48,445,927,72,90.26,3.85,28.8,7.77,13,1.4,178329.41,4375,242916.67,55.52,25.95,2332000,2332000,68.18,38250,56100,304.84,2876133.33,2.5,4,10.5,2240.7,5203.73,14.12,4664000,431000,38.64,13717.65,26.72,8.85,9322000,1114000,220000,7988000,3115000,1032000,10546000,90.45,2338000,20.05,10326000,88.56,2338000,20.05,90.45,9075031.29,22.17,53.07,661.56
2025-08,10710000,6383000,2186000,1599000,542000,20.41,706756,9.8,2.02,778,451,44,407,848,65,90.24,3.99,29.05,7.67,12,1.42,165192.8,5000,243409.09,48.68,25.06,2142000,2142000,62.41,35010,56100,305.91,3877442.16,2.5,4,10.5,2240.7,4779.76,14.12,4284000,399750,35.36,13766.07,26.57,8.79,8962000,1016000,220000,7726000,2846000,941000,9694000,90.51,1748000,16.32,9474000,88.46,1748000,16.32,90.51,8778797.19,18.03,51.15,637.71
2025-09,11620000,6856000,2415000,1751000,598000,20.78,760169,9.81,1.94,842,488,48,440,918,70,90.16,3.89,29.51,7.63,13,1.42,179406.18,4583.33,242083.33,52.82,25.68,2324000,2324000,67.54,37890,56100,306.68,3003903.4,2.5,4,10.5,2240.7,5185.88,14.12,4648000,437750,38.27,13800.48,26.42,8.71,9244000,1093000,220000,7931000,3070000,1012000,10527000,90.59,2376000,20.45,10307000,88.7,2376000,20.45,90.59,8997304.08,22.57,52.3,651.96
2025-10,12190000,7119000,2579000,1855000,637000,21.16,790369,9.81,1.87,881,511,50,461,960,72,90.22,3.72,29.75,7.5,13,1.35,179875.14,4400,243800,55.41,26.89,2438000,2438000,70.67,39645,56100,307.48,2472130.16,2.5,4,10.5,2240.7,5440.26,14.12,4876000,463750,40.05,13836.55,26.28,8.63,9407000,1137000,220000,8050000,3204000,1052000,11053000,90.67,2783000,22.83,10833000,88.87,2783000,22.83,90.67,9120718.36,25.18,52.88,659.18
2025-11,12180000,7040000,2622000,1871000,647000,21.53,782745,9.82,1.79,878,509,49,460,957,71,90.37,3.73,30.06,7.42,13,1.36,180341.69,4693.88,248571.43,52.96,26.79,2436000,2436000,70.43,39510,56100,308.28,2520159.45,2.5,4,10.5,2240.7,5435.8,14.12,4872000,467750,39.91,13872.44,26.14,8.57,9399000,1129000,220000,8050000,3184000,1044000,11051000,90.73,2781000,22.83,10831000,88.92,2781000,22.83,90.73,9114885.53,25.17,52.7,657.05
2025-12,13120000,7505000,2873000,2034000,708000,21.9,835674,9.83,1.72,943,547,53,494,1028,75,90.31,3.66,30.35,7.3,14,1.36,194782.61,4339.62,247547.17,57.04,27.35,2624000,2624000,75.64,42435,56100,309.18,1623188.41,2.5,4,10.5,2240.7,5855.31,14.12,5248000,508500,42.86,13913.04,26,8.5,9743000,1207000,220000,8316000,3411000,1115000,11913000,90.8,3377000,25.74,11693000,89.12,3377000,25.74,90.8,9400849.49,28.35,54.2,675.69
2026-01,11399000,6452000,2539000,1783000,625000,22.27,719542,9.84,1.65,817,474,46,428,891,65,90.3,3.59,30.59,7.3,12,1.35,167427.17,5217.39,247804.35,47.5,27.88,2279800,2279800,65.53,36765,56100,310.05,3385749.49,2.5,4,10.5,2240.7,5087.25,14.12,4559600,445750,37.14,13952.26,25.85,8.42,9132000,1040000,220000,7872000,2947000,960000,10359000,90.88,2267000,19.89,10139000,88.95,2267000,19.89,90.88,8904402.74,21.88,51.19,638.2
2026-02,11250000,6300000,2547000,1776000,627000,22.64,703759,9.84,1.57,804,466,45,421,876,63,90.34,3.65,30.9,7.19,12,1.37,167910.45,5333.33,250000,46.88,27.41,2250000,2250000,64.49,36180,56100,310.95,3577425.37,2.5,4,10.5,2240.7,5020.75,14.12,4500000,444000,36.55,13992.54,25.72,8.36,9056000,1019000,220000,7817000,2893000,940000,10231000,90.94,2194000,19.5,10011000,88.99,2194000,19.5,90.94,8837479.23,21.44,50.66,631.59
2026-03,13070000,7241000,3008000,2082000,739000,23.01,810129,9.85,1.5,931,540,52,488,1015,72,90.37,3.52,31.3,7.09,14,1.38,196541.35,4615.38,251346.15,54.46,28.42,2614000,2614000,74.68,41895,56100,311.97,1806308.63,2.5,4,10.5,2240.7,5833,14.12,5228000,520500,42.32,14038.67,25.57,8.29,9643000,1174000,220000,8249000,3342000,1083000,11896000,91.02,3427000,26.22,11676000,89.33,3427000,26.22,91.02,9304794.05,28.81,53.17,662.8
2026-04,12420000,6806000,2905000,1996000,713000,23.39,762753,9.86,1.42,882,512,49,463,961,68,90.43,3.52,31.45,7.08,13,1.35,183061.22,5102.04,253469.39,49.68,28.44,2484000,2484000,70.75,39690,56100,312.93,2501836.73,2.5,4,10.5,2240.7,5542.91,14.12,4968000,499000,40.09,14081.63,25.43,8.21,9774000,1107000,220000,8447000,3158000,1020000,11313000,91.09,2646000,21.3,11093000,89.32,2646000,21.3,91.09,9515083.53,23.39,54.2,675.71
2026-05,12149000,6585000,2886000,1970000,708000,23.76,739270,9.87,1.35,860,499,47,452,937,65,90.58,3.41,31.86,6.94,13,1.39,183647.67,5319.15,258489.36,48.6,29.35,2429800,2429800,68.98,38700,56100,313.93,2820639.92,2.5,4,10.5,2240.7,5421.97,14.12,4859600,492500,39.09,14126.74,25.28,8.14,9651000,1074000,220000,8357000,3071000,989000,11075000,91.16,2498000,20.56,10855000,89.35,2498000,20.56,91.16,9408756.03,22.56,53.42,666.02
2026-06,13000000,6968000,3137000,2126000,769000,24.13,783687,9.87,1.27,918,532,50,482,1001,69,90.6,3.38,32.14,6.89,14,1.4,198257.08,5200,260000,50,29.56,2600000,2600000,73.64,41310,56100,314.69,2006172.84,2.5,4,10.5,2240.7,5801.76,14.12,5200000,531500,41.73,14161.22,25.14,8.07,9947000,1140000,220000,8587000,3268000,1049000,11860000,91.23,3053000,23.48,11640000,89.54,3053000,23.48,91.23,9653541.32,25.74,54.68,681.69
2026-07,12840000,6805000,3146000,2119000,770000,24.5,766700,9.88,1.2,904,524,50,474,985,67,90.46,3.24,32.44,6.8,14,1.42,198849.56,5200,256800,49.38,30.82,2568000,2568000,72.51,40680,56100,315.63,2211017.7,2.5,4,10.5,2240.7,5730.35,14.12,5136000,529750,41.09,14203.54,25,8,9893000,1117000,220000,8556000,3210000,1027000,11723000,91.3,2947000,22.95,11503000,89.59,2947000,22.95,91.3,9612201.65,25.14,54.28,676.75
